category,tag,domain,source,environment,scenario,file
texture/smooth,smooth,musical,glass harmonica,conservatory,a glass harmonica being played with wet fingers,smooth/smooth_musical_0000.mp3
texture/smooth,smooth,musical,wooden flute,coastal cave,a sustained low note on a polished wooden flute,smooth/smooth_musical_0001.mp3
texture/smooth,smooth,musical,vibraphone,concert hall,a vibraphone strike with a soft yarn mallet,smooth/smooth_musical_0002.mp3
texture/smooth,smooth,musical,cello,recording studio,a slow legato bow stroke on a cello d-string,smooth/smooth_musical_0003.mp3
texture/smooth,smooth,musical,tuning fork,laboratory,a tuning fork vibrating against a padded surface,smooth/smooth_musical_0004.mp3
texture/smooth,smooth,musical,pipe organ,cathedral,a sustained flute stop note on a pipe organ,smooth/smooth_musical_0005.mp3
texture/smooth,smooth,musical,glass harp,attic,a finger circling the rim of a crystal goblet,smooth/smooth_musical_0006.mp3
texture/smooth,smooth,musical,nylon guitar,bedroom,a thumb sliding slowly up a nylon guitar string,smooth/smooth_musical_0007.mp3
texture/smooth,smooth,musical,pan flute,meadow,a steady breath through a bamboo pan flute,smooth/smooth_musical_0008.mp3
texture/smooth,smooth,musical,marimba,theater,a soft mallet roll on the lower bars of a marimba,smooth/smooth_musical_0009.mp3
texture/smooth,smooth,musical,singing bowl,monastery,a wooden mallet circling the edge of a brass bowl,smooth/smooth_musical_0010.mp3
texture/smooth,smooth,musical,harmonium,temple,a continuous drone from a hand-pumped harmonium,smooth/smooth_musical_0011.mp3
texture/smooth,smooth,musical,celesta,ballet studio,a single delicate note on a celesta,smooth/smooth_musical_0012.mp3
texture/smooth,smooth,musical,theremin,gallery,a steady wavering pitch from a theremin,smooth/smooth_musical_0013.mp3
texture/smooth,smooth,musical,french horn,ballroom,a warm sustained note on a french horn,smooth/smooth_musical_0014.mp3
texture/smooth,smooth,musical,harp,conservatory,a gentle glissando on mid-range harp strings,smooth/smooth_musical_0015.mp3
texture/smooth,smooth,musical,erhu,garden,a slow fluid bow stroke on an erhu,smooth/smooth_musical_0016.mp3
texture/smooth,smooth,mechanical,flywheel,shipyard,a heavy steel flywheel spinning on a magnetic bearing,smooth/smooth_mechanical_0017.mp3
texture/smooth,smooth,mechanical,hydraulic lift,garage,a hydraulic piston rising slowly on a cushion of oil,smooth/smooth_mechanical_0018.mp3
texture/smooth,smooth,mechanical,bicycle,park,a well-oiled bicycle chain rotating at a steady pace,smooth/smooth_mechanical_0019.mp3
texture/smooth,smooth,mechanical,cooling fan,server room,a high-end computer fan spinning at low speed,smooth/smooth_mechanical_0020.mp3
