category,tag,domain,source,environment,scenario,file
material,woody,musical,marimba,quiet library,a hardwood marimba strike with a yarn mallet,woody/woody_musical_0000.mp3
material,woody,musical,woodblock,canyon floor,a hollow maple woodblock hit with a drumstick,woody/woody_musical_0001.mp3
material,woody,musical,temple block,monastery,a rhythmic clack of a wooden fish drum,woody/woody_musical_0002.mp3
material,woody,musical,wooden flute,bamboo grove,a breathy air stream passing through a cedar flute,woody/woody_musical_0003.mp3
material,woody,musical,cajon,subway station,a resonant bass strike on a plywood box drum,woody/woody_musical_0004.mp3
material,woody,musical,claves,recording booth,the solid clack of two rosewood sticks hitting,woody/woody_musical_0005.mp3
material,woody,musical,log drum,tropical jungle,a heavy mallet strike on a hollowed tree trunk,woody/woody_musical_0006.mp3
material,woody,musical,acoustic guitar,sunny porch,a finger tapping the mahogany body of a guitar,woody/woody_musical_0007.mp3
material,woody,musical,xylophone,classroom,a sharp hit on a high-pitched rosewood bar,woody/woody_musical_0008.mp3
material,woody,musical,recorder,botanical garden,a soft breathy trill on a pearwood pipe,woody/woody_musical_0009.mp3
material,woody,musical,cello,attic loft,a pizzicato pluck on a string vibrating against a wooden bridge,woody/woody_musical_0010.mp3
material,woody,musical,pipe organ,basilica,a sustained note on a large wooden pedal pipe,woody/woody_musical_0011.mp3
material,woody,musical,castanets,theater stage,a rapid rhythmic clicking of ebony castanets,woody/woody_musical_0012.mp3
material,woody,musical,bassoon,meadow,a low-register buzz from a maple woodwind body,woody/woody_musical_0013.mp3
material,woody,musical,shaker,festival,seeds rattling inside a dried hollow gourd,woody/woody_musical_0014.mp3
material,woody,musical,dulcimer,mountain cabin,a hammer strike on a walnut soundboard,woody/woody_musical_0015.mp3
material,woody,musical,piano,ballroom,the mechanical thud of a wooden hammer shank hitting a rail,woody/woody_musical_0016.mp3
material,woody,mechanical,gears,old mill,ungreased wooden cogs grinding in a grain mill,woody/woody_mechanical_0017.mp3
material,woody,mechanical,loom,cottage,the rhythmic clacking of a wooden hand loom weaving fabric,woody/woody_mechanical_0018.mp3
material,woody,mechanical,pulley,barn loft,a hemp rope squeaking over a weathered wooden wheel,woody/woody_mechanical_0019.mp3
material,woody,mechanical,printing press,workshop,the heavy thud of a wooden letterpress arm,woody/woody_mechanical_0020.mp3
material,woody,mechanical,winch,fishing pier,a wooden crank ratcheting while lifting a heavy net,woody/woody_mechanical_0021.mp3
material,woody,mechanical,water wheel,riverbank,the steady splashing and creaking of large timber paddles,woody/woody_mechanical_0022.mp3
material,woody,mechanical,lathe,carpentry shop,a spinning spindle being carved by a handheld chisel,woody/woody_mechanical_0023.mp3
material,woody,mechanical,metronome,music room,the sharp rhythmic click of a wooden metronome arm,woody/woody_mechanical_0024.mp3
material,woody,mechanical,clockwork,study,the thud of a wooden grandfather clock weight swinging,woody/woody_mechanical_0025.mp3
