category,tag,domain,source,environment,scenario
Warmth/Body,warm,Musical,viola,wood-paneled room,a slow bow stroke across a thick gut viola string
Warmth/Body,warm,Musical,piano,carpeted lounge,a felt-covered hammer striking a copper-wound piano string
Warmth/Body,warm,Musical,cello,basement studio,the resonance of a cello body held against a player's chest
Warmth/Body,warm,Musical,guitar,sunny porch,a thumb plucking a nylon string on a cedar-top guitar
Warmth/Body,warm,Musical,flute,library,the breathy tone of a large wooden flute
Warmth/Body,warm,Musical,double bass,jazz cellar,the vibration of a thick upright bass string played with the side of a finger
Warmth/Body,warm,Musical,organ,small chapel,the air rushing through a wide wooden organ pipe
Warmth/Body,warm,Musical,marimba,theatre,a rosewood marimba bar struck with a soft yarn mallet
Warmth/Body,warm,Musical,clarinet,music room,a low-register melody played on a wooden clarinet
Warmth/Body,warm,Musical,lute,tapestry hall,the gentle plucking of a gut string on a rounded lute
Warmth/Body,warm,Musical,harmonica,campfire,the drawing of breath through a wooden-comb harmonica
Warmth/Body,warm,Musical,drum,rehearsal space,a large floor tom struck with a heavy felt beater
Warmth/Body,warm,Musical,oboe,conservatory,the vibration of a thick cane reed on an oboe
Warmth/Body,warm,Musical,accordion,cobblestone street,the expansion of leather bellows on a vintage accordion
Warmth/Body,warm,Mechanical,engine,garage,the steady rhythmic idle of a large vintage diesel engine
Warmth/Body,warm,Mechanical,gears,clock shop,the smooth rotation of brass gears coated in heavy oil
Warmth/Body,warm,Mechanical,fan,bedroom,the low-speed whirring of a large ceiling fan with wooden blades
Warmth/Body,warm,Mechanical,pump,basement,the muffled thumping of a water pump through a thick rug
Warmth/Body,warm,Mechanical,conveyor,warehouse,the soft rubbing of a thick rubber belt against a wooden roller
Warmth/Body,warm,Mechanical,projector,attic,the internal whirring of a vintage film projector
Warmth/Body,warm,Mechanical,clock,study,the slow rhythmic ticking of a wooden pendulum clock
Warmth/Body,warm,Mechanical,lathe,workshop,a wood-turning lathe spinning a heavy oak block
Warmth/Body,warm,Mechanical,press,factory,the muffled thud of a manual bookbinding press
Warmth/Body,warm,Mechanical,boiler,old house,the soft roar of a gas pilot light inside a cast-iron boiler
Warmth/Body,warm,Mechanical,metronome,music room,the mechanical click of a wooden pyramid metronome
Warmth/Body,warm,Mechanical,ventilator,hospital,the steady breathing of a large bellows-driven ventilator
Warmth/Body,warm,Mechanical,mill,countryside,the heavy slow grinding of wooden grain-mill components
Warmth/Body,warm,Mechanical,sewing machine,craft room,the rhythmic thrumming of a vintage treadle sewing machine
Warmth/Body,warm,Mechanical,typewriter,library,the muffled strike of a felt-covered typewriter platen
Warmth/Body,warm,Environmental,fire,stone hearth,the steady crackling of a large oak log in a fireplace
Warmth/Body,warm,Environmental,wind,forest,a gentle breeze moving through a thick canopy of pine needles
Warmth/Body,warm,Environmental,water,hot spring,the slow bubbling of thick geothermal water
Warmth/Body,warm,Environmental,thunder,distant hills,the muffled rumble of thunder through a heavy cloud layer
Warmth/Body,warm,Environmental,rain,tropical garden,large raindrops hitting a thick waxy leaf
Warmth/Body,warm,Environmental,ocean,sandy cove,the rhythmic wash of a slow wave on a sand bar
Warmth/Body,warm,Environmental,mud,swamp,a large bubble rising and bursting in thick warm mud
Warmth/Body,warm,Environmental,leaves,autumn woods,the soft rustle of a thick layer of dry maple leaves
Warmth/Body,warm,Environmental,geyser,valley floor,the deep subterranean gurgle of a steaming vent
Warmth/Body,warm,Environmental,cave,underground,the resonant echo of a person humming in a small damp cavern
Warmth/Body,warm,Environmental,hail,meadow,small hailstones falling into deep soft grass
Warmth/Body,warm,Environmental,underwater,pool,the muffled vibration of a distant boat motor underwater
Warmth/Body,warm,Environmental,snow,mountain side,the soft crunch of a heavy boot in deep fresh powder
Warmth/Body,warm,Environmental,stream,meadow,the gentle gurgle of water over smooth mossy stones
Warmth/Body,warm,Environmental,wind,desert,the soft moaning of wind over a rounded sand dune
Warmth/Body,warm,Organic,vocalization,nursery,a human mother humming a low-register lullaby
Warmth/Body,warm,Organic,purr,living room,the steady internal vibration of a large cat purring
Warmth/Body,warm,Organic,heartbeat,quiet room,the rhythmic thumping of a human heart through a chest
Warmth/Body,warm,Organic,breathing,bedroom,the slow deep breathing of a large sleeping dog
Warmth/Body,warm,Organic,footsteps,hallway,the soft thud of a person walking on a thick rug in wool socks
Warmth/Body,warm,Organic,vocalization,savannah,the low-frequency chesty rumble of an elephant
Warmth/Body,warm,Organic,stomach,kitchen,the soft gurgling of a stomach after a meal
Warmth/Body,warm,Organic,wings,garden,the low-pitched hum of a hawk moth's wings
Warmth/Body,warm,Organic,vocalization,forest,the deep resonant hoot of a large owl
Warmth/Body,warm,Organic,chewing,pasture,the slow rhythmic grinding of a cow chewing hay
Warmth/Body,warm,Organic,vocalization,ocean,the deep melodic groan of a distant humpback whale
Warmth/Body,warm,Organic,hand,spa,the soft friction of a palm rubbing over warm skin
Warmth/Body,warm,Organic,vocalization,mountain,the resonant bark of a large furry dog
Warmth/Body,warm,Organic,throat,bedroom,a gentle clearing of a human throat
Warmth/Body,warm,Organic,fur,grooming room,the soft rustle of a brush moving through thick dog fur
Warmth/Body,warm,Domestic,kettle,kitchen,the soft rumbling of water beginning to boil in a heavy pot
Warmth/Body,warm,Domestic,blanket,bedroom,the soft rustle of a heavy wool blanket being pulled up
Warmth/Body,warm,Domestic,sofa,living room,the muffled thud of a person sitting on a plush velvet sofa
Warmth/Body,warm,Domestic,curtains,theatre,the heavy swish of thick theater drapes closing
Warmth/Body,warm,Domestic,rug,entryway,the shaking out of a thick woven rug
Warmth/Body,warm,Domestic,pot,kitchen,the steady bubbling of a thick vegetable stew
Warmth/Body,warm,Domestic,door,study,the soft thud of a solid wood door with a rubber seal
Warmth/Body,warm,Domestic,slippers,hallway,the soft scuff of sheepskin slippers on a wooden floor
Warmth/Body,warm,Domestic,bath,bathroom,the resonant splash of warm water into a deep porcelain tub
Warmth/Body,warm,Domestic,cushion,nursery,the soft impact of a large pillow falling onto a carpet
Warmth/Body,warm,Domestic,laundry,bedroom,the rustle of a pile of warm towels fresh from the dryer
Warmth/Body,warm,Domestic,fireplace,den,the soft roar of air being drawn into a wood stove
Warmth/Body,warm,Domestic,cup,dining room,the muffled clink of a ceramic mug on a wooden coaster
Warmth/Body,warm,Domestic,closet,bedroom,the soft rubbing of hanging wool coats together
