tag,domain,source,environment,scenario
full,Musical,pipe organ,stone cathedral,a pipe organ playing a major triad in a stone cathedral
full,Musical,cello,library,a cello being bowed slowly on its lowest string in a library
full,Musical,bronze gong,monastery,a large bronze gong vibrating after a heavy strike in a monastery
full,Musical,grand piano,concert hall,a grand piano sustained chord in an empty concert hall
full,Musical,tuba,mountain valley,a tuba playing a long note in a mountain valley
full,Musical,timpani,meadow,a timpani being struck with a soft mallet in a meadow
full,Musical,taiko drum,shrine,a taiko drum being hit with thick wooden beaters in a shrine
full,Musical,double bass,wooden attic,a double bass being plucked in a wooden attic
full,Musical,harp,grotto,a harp being strummed across all strings in a grotto
full,Musical,baritone saxophone,shipyard,a baritone saxophone playing a low note in a shipyard
full,Musical,french horn,theater,a french horn section playing a sustained note in a theater
full,Musical,accordion,town square,an accordion bellows being drawn out fully in a town square
full,Musical,glass armonica,greenhouse,a glass armonica spinning and singing in a greenhouse
full,Musical,sitar,garden,a sitar string vibrating with sympathetic resonance in a garden
full,Musical,hammered dulcimer,pine forest,a hammered dulcimer being played rapidly in a pine forest
full,Musical,didgeridoo,desert,a didgeridoo being blown into a hollow log in a desert
full,Musical,koto,bamboo grove,a koto being plucked with ivory picks in a bamboo grove
full,Musical,choir,underground dome,a choir of voices singing a long vowel in an underground dome
full,Mechanical,steam engine,station,a steam engine venting a broad plume of steam at a station
full,Mechanical,industrial fan,warehouse,a large industrial fan spinning in a hollow warehouse
full,Mechanical,hydroelectric turbine,dam,a massive hydroelectric turbine spinning in a dam
full,Mechanical,hydraulic press,factory,a hydraulic press moving steadily through a heavy metal block
full,Mechanical,diesel generator,shed,a diesel generator humming under a full load in a shed
full,Mechanical,church bell,brick tower,a church bell swinging and tolling in a brick tower
full,Mechanical,wooden windmill,coastal cliff,a wooden windmill's blades turning in a steady gale
full,Mechanical,clockwork mechanism,museum,a large clockwork mechanism's gears turning in a museum
full,Mechanical,water wheel,canyon,a water wheel churning through a river in a canyon
full,Mechanical,flywheel,old mill,a heavy flywheel spinning at high speed in an old mill
full,Mechanical,grain mill,barn,a grain mill's stones grinding wheat in a barn
full,Mechanical,furnace blower,basement,a furnace blower pushing air through metal ducts in a basement
full,Mechanical,tugboat engine,harbor,a tugboat's engine vibrating the deck in a harbor
full,Mechanical,construction crane,shipyard,a construction crane's motor lifting a heavy load in a shipyard
full,Mechanical,printing press,basement office,a printing press running at full speed in a basement office
full,Mechanical,textile loom,factory,a textile loom's shuttle moving back and forth in a factory
full,Mechanical,lawnmower,field,a heavy-duty lawnmower cutting thick grass in a field
full,Mechanical,escalator,shopping mall,an escalator's internal drive chain moving in a mall
full,Environmental,thunder,wide prairie,a long roll of thunder moving across a wide prairie
full,Environmental,waterfall,tropical valley,a massive waterfall plunging into a deep lake in a tropical valley
full,Environmental,ocean surf,sandy beach,ocean surf hitting a wide sandy beach during a storm
full,Environmental,forest fire,pine grove,a forest fire roaring through a stand of pine trees
full,Environmental,wind,narrow canyon,wind rushing through a narrow canyon during a storm
full,Environmental,landslide,mountain,a landslide of earth and rocks moving down a mountain
