category,tag,domain,source,environment,scenario,file
spatial/near,near,musical,violin,quiet bedroom,a rosin-coated bow scratching a violin string directly under the ear,near/near_musical_0000.mp3
spatial/near,near,musical,acoustic guitar,small study,a fingertip sliding slowly along a wound bronze guitar string,near/near_musical_0001.mp3
spatial/near,near,musical,flute,padded room,a breathy air stream passing through a silver flute embouchure,near/near_musical_0002.mp3
spatial/near,near,musical,piano,living room,the mechanical thud of a piano hammer hitting a high wire,near/near_musical_0003.mp3
spatial/near,near,musical,harp,closet,a fingernail plucking a nylon harp string with an intimate resonance,near/near_musical_0004.mp3
spatial/near,near,musical,snare drum,rehearsal booth,a drumstick tip tapping the center of a tight drum skin,near/near_musical_0005.mp3
spatial/near,near,musical,harmonica,bedroom,the metallic vibration of a harmonica reed inhaled through a mouthpiece,near/near_musical_0006.mp3
spatial/near,near,musical,cello,den,a low-frequency vibration of a cello string bowed at close range,near/near_musical_0007.mp3
spatial/near,near,musical,tambourine,entryway,the light clinking of tambourine jingles held in the hand,near/near_musical_0008.mp3
spatial/near,near,musical,glockenspiel,nursery,a metal mallet striking a steel glockenspiel bar inches away,near/near_musical_0009.mp3
spatial/near,near,musical,triangle,studio,a single delicate strike on a steel triangle held by the clip,near/near_musical_0010.mp3
spatial/near,near,musical,banjo,porch,the sharp snap of a banjo string being plucked by a thumb pick,near/near_musical_0011.mp3
spatial/near,near,musical,saxophone,music room,the buzzing of a wooden saxophone reed against the mouthpiece,near/near_musical_0012.mp3
spatial/near,near,musical,trumpet,hallway,the mechanical clicking of brass trumpet valves being pressed,near/near_musical_0013.mp3
spatial/near,near,musical,ukulele,deck,a light thumb strum across nylon ukulele strings right against the body,near/near_musical_0014.mp3
spatial/near,near,musical,chimes,kitchen,the soft contact of two metal chimes being moved by hand,near/near_musical_0015.mp3
spatial/near,near,musical,claves,office,the solid clack of two wooden sticks being struck together near the chest,near/near_musical_0016.mp3
spatial/near,near,mechanical,pocket watch,library,the rhythmic ticking of a vintage gold watch held in a palm,near/near_mechanical_0017.mp3
spatial/near,near,mechanical,typewriter,desk,the crisp strike of a typewriter key hitting paper and a metal platen,near/near_mechanical_0018.mp3
spatial/near,near,mechanical,camera,darkroom,the mechanical click and whir of a manual camera shutter in hand,near/near_mechanical_0019.mp3
spatial/near,near,mechanical,stapler,office,the solid punch of a handheld stapler penetrating a stack of paper,near/near_mechanical_0020.mp3
spatial/near,near,mechanical,sewing machine,craft room,the rapid rhythmic needle strike of a machine on a piece of silk,near/near_mechanical_0021.mp3
spatial/near,near,mechanical,bicycle,garage,the rapid clicking of a bicycle freewheel being spun by hand,near/near_mechanical_0022.mp3
spatial/near,near,mechanical,fan,bedroom,the whir of a small usb cooling fan sitting on a nightstand,near/near_mechanical_0023.mp3
spatial/near,near,mechanical,latches,nursery,the sliding and clicking of a plastic toy latch under fingers,near/near_mechanical_0024.mp3
spatial/near,near,mechanical,hand drill,workshop,the grinding of a manual drill bit biting into a pine board,near/near_mechanical_0025.mp3
spatial/near,near,mechanical,gears,watchmaker shop,the tiny rapid clicking of brass gears in a disassembled movement,near/near_mechanical_0026.mp3
spatial/near,near,mechanical,metronome,study,the sharp wooden click of a mechanical metronome on a desk,near/near_mechanical_0027.mp3
spatial/near,near,mechanical,lock,front door,the metallic scraping and turning of a key inside a brass lock,near/near_mechanical_0028.mp3
spatial/near,near,mechanical,winch,fishing pier,the ratcheting sound of a small fishing reel being cranked,near/near_mechanical_0029.mp3
spatial/near,near,mechanical,printer,home office,the rhythmic mechanical sweep of an inkjet print head on paper,near/near_mechanical_0030.mp3
spatial/near,near,mechanical,valves,laboratory,the soft hiss of air escaping a needle valve being turned by hand,near/near_mechanical_0031.mp3
spatial/near,near,mechanical,switches,cockpit,the heavy-duty click of a metal toggle switch being flipped,near/near_mechanical_0032.mp3
spatial/near,near,mechanical,pulleys,warehouse,the light squeak of a thin nylon cord over a small pulley,near/near_mechanical_0033.mp3
spatial/near,near,mechanical,razor,bathroom,the scraping of a safety razor blade across coarse stubble,near/near_mechanical_0034.mp3
spatial/near,near,environmental,insect,meadow,the high-pitched buzzing of a fly circling right next to the ear,near/near_environmental_0035.mp3
spatial/near,near,environmental,rain,tin roof,individual heavy raindrops splashing on a corrugated metal sheet overhead,near/near_environmental_0036.mp3
spatial/near,near,environmental,wind,canyon,a soft whistle of a breeze passing through a small rock fissure,near/near_environmental_0037.mp3
spatial/near,near,environmental,fire,campsite,the rhythmic crackling and popping of a dry cedar twig in a flame,near/near_environmental_0038.mp3
spatial/near,near,environmental,snow,tundra,the soft crunch of crystalline snow being compressed by a gloved hand,near/near_environmental_0039.mp3
spatial/near,near,environmental,water drop,cave,a single water droplet hitting a shallow pool on a stone floor,near/near_environmental_0040.mp3
spatial/near,near,environmental,leaves,garden,the dry rustle of a single autumn leaf being crushed in a palm,near/near_environmental_0041.mp3
spatial/near,near,environmental,sand,beach,the skittering of fine sand grains against a glass bottle in a breeze,near/near_environmental_0042.mp3
spatial/near,near,environmental,stream,brook,the bubbling of water over small smooth quartz stones in a stream,near/near_environmental_0043.mp3
spatial/near,near,environmental,thaw,eaves,the tinkling of an icicle breaking and hitting a wooden porch railing,near/near_environmental_0044.mp3
spatial/near,near,environmental,geyser,volcanic field,a small steam vent hissing through a mineral crust at the feet,near/near_environmental_0045.mp3
spatial/near,near,environmental,reeds,marsh,the dry clattering of two bamboo stalks brushing together,near/near_environmental_0046.mp3
spatial/near,near,environmental,ice,pond,the sharp high-pitched crack of a frozen puddle being stepped on,near/near_environmental_0047.mp3
spatial/near,near,environmental,rocks,gorge,two small pebbles being struck together right in front of the face,near/near_environmental_0048.mp3
