tag,domain,source,environment,scenario
saturated,Musical,electric guitar,garage,an electric guitar playing through a high-gain tube amplifier in a garage
saturated,Musical,bass guitar,concrete basement,a bass guitar string vibrating through a fuzz pedal in a concrete basement
saturated,Musical,pipe organ,stone cathedral,a pipe organ playing a full chord with all stops pulled in a stone cathedral
saturated,Musical,cello,recording studio,a cello being bowed with extreme downward pressure on its lowest string
saturated,Musical,saxophone reed,subway station,a saxophone reed vibrating intensely during a loud overblown note in a subway
saturated,Musical,didgeridoo,limestone cave,a didgeridoo being blown with circular breathing in a limestone cave
saturated,Musical,snare drum,tiled bathroom,a snare drum being struck with maximum force in a small tiled bathroom
saturated,Musical,trombone,empty warehouse,a trombone playing a loud brassy note in an empty warehouse
saturated,Musical,taiko drum,shrine,a taiko drum being hit with heavy wooden mallets in a shrine
saturated,Musical,gong,mountain peak,a large gong vibrating at its physical limit after a heavy strike on a peak
saturated,Musical,accordion,bustling market,accordion bellows being squeezed rapidly during a loud chord in a market
saturated,Musical,piano strings,industrial loft,piano strings being struck by metal hammers in an industrial loft
saturated,Musical,harmonica,front porch,a harmonica being blown with high breath pressure on a front porch
saturated,Musical,tuba,wide canyon,a tuba playing a sustained low note that echoes in a wide canyon
saturated,Musical,synthesizer,recording booth,a synthesizer oscillator being pushed into a clipping preamp in a recording booth
saturated,Musical,bagpipes,misty valley,bagpipes playing at full volume in a misty mountain valley
saturated,Musical,floor tom,underground bunker,a floor tom being struck repeatedly with heavy sticks in a bunker
saturated,Musical,violin,attic,a violin string being bowed so hard it breaks into a gritty tone in an attic
saturated,Mechanical,diesel engine,shipyard dock,a massive diesel engine running at full throttle on a shipyard dock
saturated,Mechanical,jackhammer,narrow alley,a jackhammer tearing into thick concrete in a narrow brick alley
saturated,Mechanical,chainsaw,dense forest,a chainsaw engine revving while cutting through a knotted oak log
saturated,Mechanical,jet engine,remote runway,a jet engine reaching maximum thrust on a remote desert runway
saturated,Mechanical,industrial press,scrap yard,an industrial press crushing a steel car frame in a scrap yard
saturated,Mechanical,steam locomotive,train station,a steam locomotive venting a continuous plume of high-pressure steam
saturated,Mechanical,metal lathe,factory,a metal lathe carving deep into a spinning steel rod in a factory
saturated,Mechanical,pneumatic drill,mountain tunnel,a pneumatic drill hammering into a hard rock face in a tunnel
saturated,Mechanical,industrial fan,warehouse,a large industrial fan motor humming at high speed in a warehouse
saturated,Mechanical,concrete mixer,suburban street,a concrete mixer rotating with a full load of wet gravel on a street
saturated,Mechanical,lawn mower,overgrown field,a petrol lawn mower engine straining in tall thick grass
saturated,Mechanical,wood chipper,orchard,a wood chipper engine idling with a heavy vibration in an orchard
saturated,Mechanical,hydraulic pump,hangar,a hydraulic pump straining to lift a heavy aircraft wing in a hangar
saturated,Mechanical,circular saw,lumber yard,a circular saw blade biting into a thick beam of hardwood
saturated,Mechanical,printing press,basement office,a heavy-duty printing press running at its maximum speed in a basement
saturated,Mechanical,outboard motor,river gorge,an outboard motor churning through turbulent water in a river gorge
saturated,Mechanical,elevator motor,high-rise,a heavy elevator motor engaging to lift a full car in a high-rise
saturated,Mechanical,diesel generator,marshland,a diesel generator vibrating violently on a metal platform in a marsh
saturated,Environmental,waterfall,tropical jungle,a massive waterfall crashing into a deep rocky pool in a jungle
saturated,Environmental,forest fire,pine grove,a forest fire roaring through a stand of dry pine trees
saturated,Environmental,thunder,open prairie,a long roll of thunder moving across a wide open prairie
saturated,Environmental,hurricane wind,city center,hurricane-force winds howling through the gaps of a skyscraper
saturated,Environmental,volcanic eruption,island,a volcanic vent erupting with a continuous blast of gas and ash
saturated,Environmental,hailstorm,farm shed,a dense hailstorm pelting a corrugated tin roof of a farm shed
saturated,Environmental,flash flood,desert wash,a flash flood carrying boulders and debris through a desert wash
saturated,Environmental,avalanche,mountain valley,an avalanche of snow and ice rushing down a steep peak into a valley
saturated,Environmental,geyser,tundra,a geyser's sustained eruption of boiling water and steam in a tundra
saturated,Environmental,ocean surf,sea cave,heavy ocean surf crashing and echoing inside a deep sea cave
saturated,Environmental,mud pot,volcanic wasteland,a thick mud pot bubbling and steaming in a volcanic wasteland
saturated,Environmental,landslide,quarry,a massive landslide of earth and rocks in a stone quarry
saturated,Environmental,river rapids,rocky gorge,river rapids churning through a narrow rocky gorge during a flood
saturated,Environmental,sandstorm,desert ruin,a sandstorm blasting grit against the walls of a desert ruin
saturated,Environmental,ice shelf,arctic bay,a massive ice shelf fracturing and calving into the ocean
