category,tag,domain,source,environment,scenario,file
darkness,cold,musical,glockenspiel,ice cave,a steel mallet striking a frozen glockenspiel bar in a limestone cave,cold/cold_musical_0000.mp3
darkness,cold,musical,harpsichord,stone hallway,a single harpsichord pluck echoing in a drafty stone corridor,cold/cold_musical_0001.mp3
darkness,cold,musical,violin,tundra,a thin violin harmonic played with a carbon fiber bow on the tundra,cold/cold_musical_0002.mp3
darkness,cold,musical,triangle,mountaintop,a small steel triangle ringing in the thin air of a mountain peak,cold/cold_musical_0003.mp3
darkness,cold,musical,piano,ballroom,the strike of a high piano string in an unheated winter ballroom,cold/cold_musical_0004.mp3
darkness,cold,musical,flute,glacier,a silver flute playing a staccato note near a glacier face,cold/cold_musical_0005.mp3
darkness,cold,musical,cymbals,arctic station,a pair of thin finger cymbals clinking in a sterile arctic lab,cold/cold_musical_0006.mp3
darkness,cold,musical,chimes,pine forest,aluminum wind chimes tapping together in a sub-zero forest,cold/cold_musical_0007.mp3
darkness,cold,musical,harp,conservatory,a wire harp string snapped in a glass conservatory at night,cold/cold_musical_0008.mp3
darkness,cold,musical,xylophone,workshop,a synthetic xylophone bar struck by a hard plastic mallet,cold/cold_musical_0009.mp3
darkness,cold,musical,trumpet,snowy field,a muted trumpet blast across a vast frozen plain,cold/cold_musical_0010.mp3
darkness,cold,musical,mandolin,cellar,a mandolin string flicked with a metal plectrum in a damp cellar,cold/cold_musical_0011.mp3
darkness,cold,musical,bells,belfry,a small silver handbell ringing in a stone belfry,cold/cold_musical_0012.mp3
darkness,cold,musical,celesta,attic,a celesta note chiming in a dusty uninsulated attic,cold/cold_musical_0013.mp3
darkness,cold,musical,lute,courtyard,a lute string vibrating in a brick courtyard at dawn,cold/cold_musical_0014.mp3
darkness,cold,musical,pipe organ,cathedral,a high-register organ pipe sounding in a vacant cathedral,cold/cold_musical_0015.mp3
darkness,cold,musical,banjo,front porch,a steel banjo string being plucked in the winter air,cold/cold_musical_0016.mp3
darkness,cold,mechanical,clock,library,the rhythmic ticking of a precision brass clock in a quiet library,cold/cold_mechanical_0017.mp3
darkness,cold,mechanical,camera,observatory,the mechanical shutter of a telescope camera firing,cold/cold_mechanical_0018.mp3
darkness,cold,mechanical,typewriter,basement,the click of a typewriter key striking a metal platen,cold/cold_mechanical_0019.mp3
darkness,cold,mechanical,gears,factory,the interlocking of small stainless steel gears in a clean room,cold/cold_mechanical_0020.mp3
darkness,cold,mechanical,lathe,machine shop,a diamond-tipped tool shaving a sliver of aluminum,cold/cold_mechanical_0021.mp3
darkness,cold,mechanical,drill,garage,a high-speed masonry drill bit spinning in a concrete floor,cold/cold_mechanical_0022.mp3
darkness,cold,mechanical,metronome,music room,a mechanical metronome ticking on a marble pedestal,cold/cold_mechanical_0023.mp3
darkness,cold,mechanical,razor,barber shop,the buzzing of an electric razor against a glass shelf,cold/cold_mechanical_0024.mp3
darkness,cold,mechanical,solenoid,laboratory,the rapid clicking of an electronic solenoid in a test bay,cold/cold_mechanical_0025.mp3
darkness,cold,mechanical,projector,cinema,the whirring of a 16mm film projector in a cold booth,cold/cold_mechanical_0026.mp3
darkness,cold,mechanical,microscope,lab,the metal-on-metal click of a microscope turret rotating,cold/cold_mechanical_0027.mp3
darkness,cold,mechanical,hard drive,server room,the high-speed spinning of a hard drive platter,cold/cold_mechanical_0028.mp3
darkness,cold,mechanical,lock,vault,the falling of a heavy steel tumbler inside a bank vault,cold/cold_mechanical_0029.mp3
darkness,cold,mechanical,stapler,office,a metal stapler firing into a stack of thin paper,cold/cold_mechanical_0030.mp3
darkness,cold,mechanical,compass,shipdeck,the needle of a nautical compass tapping against its glass,cold/cold_mechanical_0031.mp3
darkness,cold,mechanical,fan,hospital,the precise whir of a surgical ventilation fan,cold/cold_mechanical_0032.mp3
darkness,cold,mechanical,gyroscope,hangar,a mechanical gyroscope spinning up on a metal workbench,cold/cold_mechanical_0033.mp3
darkness,cold,environmental,ice,lake,the sharp cracking of a thin ice sheet on a frozen lake,cold/cold_environmental_0034.mp3
darkness,cold,environmental,wind,canyon,wind whistling through a narrow slit in a granite canyon,cold/cold_environmental_0035.mp3
darkness,cold,environmental,hail,tin roof,small hail stones bouncing off a corrugated metal roof,cold/cold_environmental_0036.mp3
darkness,cold,environmental,snow,mountain,the crunch of dry granular snow under a heavy boot,cold/cold_environmental_0037.mp3
darkness,cold,environmental,icicle,cave,an icicle snapping and hitting a stone floor,cold/cold_environmental_0038.mp3
darkness,cold,environmental,frost,morning,the subtle sound of frost crystals breaking on a leaf,cold/cold_environmental_0039.mp3
darkness,cold,environmental,sleet,window,sleet hitting a window pane during a winter gale,cold/cold_environmental_0040.mp3
darkness,cold,environmental,glacier,arctic,the distant boom of a glacier calving into the ocean,cold/cold_environmental_0041.mp3
darkness,cold,environmental,thaw,meadow,the trickle of meltwater over a bed of frozen grit,cold/cold_environmental_0042.mp3
darkness,cold,environmental,stones,beach,small frozen pebbles grinding together in the surf,cold/cold_environmental_0043.mp3
darkness,cold,environmental,geyser,tundra,a sudden hiss of steam from a frozen geothermal vent,cold/cold_environmental_0044.mp3
