category,tag,domain,source,environment,scenario
Texture/Rough,rough,Musical,woodblock,workshop,an unvarnished oak woodblock being struck with a heavy stick
Texture/Rough,rough,Musical,gut strings,monastery,a gut string on a rustic lute being plucked with a bone pick
Texture/Rough,rough,Musical,bamboo flute,riverbank,a cracked bamboo flute blowing a breathy note
Texture/Rough,rough,Musical,guitar,attic,a rusted steel guitar string being slid upon by a glass bottle
Texture/Rough,rough,Musical,bone flute,cave,a hand-carved bone flute echoing in a limestone cavern
Texture/Rough,rough,Musical,cello,conservatory,a horsehair bow moving across a dry gut cello string
Texture/Rough,rough,Musical,chime,courtyard,an unpolished brass chime being struck by a wooden mallet
Texture/Rough,rough,Musical,drum,shrine,a raw hide drum head being hit by a thick branch
Texture/Rough,rough,Musical,reed,marsh,a split cane reed vibrating in a wooden pipe
Texture/Rough,rough,Musical,stone flute,cliff,a hollowed stone being blown into during a gale
Texture/Rough,rough,Musical,gong,temple,a rough-textured cast iron gong being struck by a log
Texture/Rough,rough,Musical,bell,village square,an unglazed ceramic bell ringing in the wind
Texture/Rough,rough,Musical,shaker,recording room,a dry gourd shaker filled with coarse volcanic sand
Texture/Rough,rough,Musical,guitar string,garage,a metal file being drawn across a thick guitar string
Texture/Rough,rough,Musical,wooden pipe,forest,a hand-carved wooden pipe playing a low-register note
Texture/Rough,rough,Musical,cymbal,stage,an unpolished bronze cymbal being scraped by a drumstick
Texture/Rough,rough,Musical,zither,parlor,a zither string being plucked with a rough stone plectrum
Texture/Rough,rough,Mechanical,pulley,shipyard,a rusted iron pulley turning under the weight of a cable
Texture/Rough,rough,Mechanical,gears,mill,dry iron gears meshing together in an old grain mill
Texture/Rough,rough,Mechanical,file,foundry,a steel file being drawn across a rough iron bar
Texture/Rough,rough,Mechanical,conveyor,warehouse,a worn rubber conveyor belt sliding over a rusted roller
Texture/Rough,rough,Mechanical,winch,harbor,a rusted winch drum rotating as a steel cable unwinds
Texture/Rough,rough,Mechanical,axle,farm,a dry wooden wagon axle creaking during a turn
Texture/Rough,rough,Mechanical,ball bearing,workshop,sand and grit grinding inside a steel ball bearing
Texture/Rough,rough,Mechanical,scraper,dry dock,a metal scraper stripping barnacles from a ship's hull
Texture/Rough,rough,Mechanical,hinge,cellar,a rusted iron hinge swinging slowly in a damp room
Texture/Rough,rough,Mechanical,chain,industrial site,a heavy iron chain dragging over a jagged metal beam
Texture/Rough,rough,Mechanical,clutch,garage,a dry clutch plate engaging with a rattle
Texture/Rough,rough,Mechanical,latch,bunker,a rusted steel latch snapping into a stone socket
Texture/Rough,rough,Mechanical,drill,construction site,a metal drill bit boring into a block of porous concrete
Texture/Rough,rough,Mechanical,brake,railway,a worn brake shoe dragging against a steel train wheel
Texture/Rough,rough,Mechanical,sprocket,bicycle path,a rusted bicycle sprocket rotating under a dry chain
Texture/Rough,rough,Mechanical,wheel,factory,a dry iron wheel turning on a pitted metal track
Texture/Rough,rough,Mechanical,sandpaper,woodshop,coarse sandpaper being rubbed against a sheet of metal
Texture/Rough,rough,Environmental,rocks,riverbed,volcanic rocks grinding together in a fast-moving current
Texture/Rough,rough,Environmental,wind,thicket,a gale blowing through a dense thicket of dead brush
Texture/Rough,rough,Environmental,ice,glacier,an ice sheet sliding over a bed of coarse granite
Texture/Rough,rough,Environmental,sleet,rooftop,sleet hitting a stretched canvas tent in a storm
Texture/Rough,rough,Environmental,sand,desert,a sandstorm sandblasting the surface of a wooden post
Texture/Rough,rough,Environmental,leaves,forest,walking across a deep layer of dry and brittle oak leaves
Texture/Rough,rough,Environmental,hail,orchard,large hail stones hitting a corrugated tin roof
Texture/Rough,rough,Environmental,thunder,plains,a distant rumble of thunder echoing in a mountain pass
Texture/Rough,rough,Environmental,water,waterfall,water crashing onto a bed of jagged boulders
Texture/Rough,rough,Environmental,reeds,marsh,dry reeds clashing together in a stiff wind
Texture/Rough,rough,Environmental,ice,lake,the sound of a frozen lake surface cracking under pressure
Texture/Rough,rough,Environmental,sand,beach,wind blowing sand across a piece of unpolished glass
Texture/Rough,rough,Environmental,echo,canyon,a low-pitched shout echoing in a narrow rocky gorge
Texture/Rough,rough,Environmental,frost,window,the microscopic crackle of frost forming on a cold pane
Texture/Rough,rough,Environmental,roots,woods,a thick tree root snapping in dry rocky soil
Texture/Rough,rough,Environmental,shale,cliff,a pile of shale sliding down a steep rock face
Texture/Rough,rough,Environmental,branches,orchard,two rough tree branches rubbing together in a breeze
Texture/Rough,rough,Organic,paws,deck,a dog's rough paws scuttling on a weathered wooden deck
Texture/Rough,rough,Organic,skin,beach,a piece of shark skin being rubbed against a surfboard
Texture/Rough,rough,Organic,bark,forest,a bear scratching its back against a rough pine trunk
Texture/Rough,rough,Organic,scales,desert,a large lizard scuttling over a bed of dry leaves
Texture/Rough,rough,Organic,claws,tile floor,a cat's claws clicking on a piece of unglazed terracotta
Texture/Rough,rough,Organic,vocalizations,zoo,the guttural grunt of a camel in the morning
Texture/Rough,rough,Organic,wings,meadow,the rapid and dry flutter of a cicada's wings
Texture/Rough,rough,Organic,bones,kitchen,a large dry cattle bone being scraped with a stone
Texture/Rough,rough,Organic,shell,tide pool,a crab's shell scraping against a jagged rock
Texture/Rough,rough,Organic,seeds,field,shaking a dried sunflower head full of seeds
Texture/Rough,rough,Organic,skin,nursery,rubbing two dry and calloused fingers together
Texture/Rough,rough,Organic,tongue,barn,a cow's rough tongue licking a salt block
Texture/Rough,rough,Organic,hair,bedroom,brushing a head of thick and matted hair
Texture/Rough,rough,Organic,stomp,deck,the sharp tap of a heavy boot on a wooden plank
Texture/Rough,rough,Organic,shriek,canopy,the coarse cry of a tropical bird in a rainforest
Texture/Rough,rough,Organic,nutshell,porch,a squirrel cracking a thick walnut shell
Texture/Rough,rough,Organic,antler,forest,two deer antlers clashing in the brush
Texture/Rough,rough,Domestic,cast iron,kitchen,scrubbing a cast iron skillet with a coarse stone
Texture/Rough,rough,Domestic,broom,hallway,a stiff straw broom sweeping a concrete floor
Texture/Rough,rough,Domestic,ceramic,pantry,an unglazed ceramic pot sliding across a slate shelf
Texture/Rough,rough,Domestic,brick,hearth,a brick being scraped across a stone fireplace floor
Texture/Rough,rough,Domestic,burlap,warehouse,two sheets of heavy burlap rubbing together
Texture/Rough,rough,Domestic,rug,foyer,shaking out a heavy and coarse jute rug
Texture/Rough,rough,Domestic,pot,kitchen,an iron pot being dragged across a wooden table
Texture/Rough,rough,Domestic,sugar,bowl,shoveling coarse granulated sugar with a wooden spoon
Texture/Rough,rough,Domestic,towel,bathroom,folding a large and dry cotton towel
Texture/Rough,rough,Domestic,basket,attic,the creak of a dry wicker basket being opened
Texture/Rough,rough,Domestic,plaster,room,the sound of a metal trowel on dry plaster
Texture/Rough,rough,Domestic,shutter,bedroom,a weathered wooden shutter rattling in its frame
Texture/Rough,rough,Domestic,sponge,kitchen,a dry sponge being rubbed against a countertop
Texture/Rough,rough,Domestic,foil,kitchen,crumpling a sheet of heavy-duty aluminum foil
Texture/Rough,rough,Domestic,keys,foyer,a bunch of keys being dropped onto a granite counter
Texture/Rough,rough,Domestic,bottle,pantry,a glass bottle sliding on a sandy wooden shelf
Texture/Rough,rough,Domestic,matches,kitchen,striking a match on a coarse side of a box
Texture/Rough,rough,Electronic,signal,laboratory,a distorted square wave output from an oscillator
Texture/Rough,rough,Electronic,synthesizer,studio,a bit-crushed synthesizer lead note
Texture/Rough,rough,Electronic,hum,basement,an overloaded preamp circuit producing a noisy signal
Texture/Rough,rough,Electronic,modem,office,the noisy handshake of a vintage data modem
Texture/Rough,rough,Electronic,noise,room,a blast of pink noise through a small unshielded speaker
Texture/Rough,rough,Electronic,oscillator,lab,a low-frequency triangle wave with a slow attack
Texture/Rough,rough,Electronic,relay,server room,the snap of a plastic relay in a dry room
Texture/Rough,rough,Electronic,buzzer,gate,a low-voltage buzzer vibrating in a cardboard box
Texture/Rough,rough,Electronic,monitor,office,the faint whine of a dusty and old monitor
Texture/Rough,rough,Electronic,speaker,loft,a voice through a small and unpowered speaker
Texture/Rough,rough,Electronic,circuit panel,basement,the dry click of a plastic toggle switch
Texture/Rough,rough,Electronic,sensor,warehouse,an infrared sensor triggering a dull beep
Texture/Rough,rough,Electronic,drone,hallway,the distant hum of a large ventilation motor
Texture/Rough,rough,Electronic,strobe,lab,the recharge of a strobe with a dusty fan
Texture/Rough,rough,Electronic,keypad,office,the dull chirp of a membrane keypad
Texture/Rough,rough,Electronic,battery,garage,the faint fizz of a dry cell battery leaking
Texture/Rough,rough,Electronic,wire,attic,the hum of a wire inside a dry plaster wall
Texture/Rough,raspy,Musical,reed,conservatory,a saxophone note played with a dry and split reed
Texture/Rough,raspy,Musical,guitar string,loft,a bow moving across a rusted steel guitar string
Texture/Rough,raspy,Musical,mouth harp,campfire,a jaw harp vibrating against dry teeth
Texture/Rough,raspy,Musical,bamboo flute,riverbank,a bamboo flute played with a forced breath
Texture/Rough,raspy,Musical,trumpet,club,a trumpet playing through a cup mute with a growl
Texture/Rough,raspy,Musical,violin,chamber,a horsehair bow drawn across a dry violin string
Texture/Rough,raspy,Musical,drum,shrine,the scrape of a stick across a textured drum skin
Texture/Rough,raspy,Musical,harmonica,porch,a harmonica note bent into a breathy wail
Texture/Rough,raspy,Musical,cello,conservatory,a cello string vibrating with very little resin
Texture/Rough,raspy,Musical,pipe organ,chapel,the hiss of air in an old organ pipe
Texture/Rough,raspy,Musical,zither,parlor,a zither string being plucked with a wooden pick
Texture/Rough,raspy,Musical,banjo,barn,the sound of a thumb sliding on a banjo head
Texture/Rough,raspy,Musical,recorder,classroom,a recorder blowing a faint and breathy note
Texture/Rough,raspy,Musical,tambourine,meadow,a tambourine shaken with wooden jingles
Texture/Rough,raspy,Musical,gong,temple,the scrape of a mallet on a bronze gong
Texture/Rough,raspy,Musical,marimba,conservatory,a marimba bar struck with a worn mallet
Texture/Rough,raspy,Musical,lute,monastery,a gut string pluck on a rustic lute
Texture/Rough,raspy,Mechanical,brakes,city street,the squeal of worn brake pads on a bicycle
Texture/Rough,raspy,Mechanical,hinge,gate,a dry metal hinge swinging in the wind
Texture/Rough,raspy,Mechanical,blower,factory,sand and dust blowing through a ventilation fan
Texture/Rough,raspy,Mechanical,drill,garage,a drill bit slipping on a metal surface
Texture/Rough,raspy,Mechanical,gears,mill,unlubricated gears grinding in a wooden mill
Texture/Rough,raspy,Mechanical,piston,workshop,a piston moving through a dry graphite seal
Texture/Rough,raspy,Mechanical,winch,harbor,a dry rope moving over a wooden winch drum
Texture/Rough,raspy,Mechanical,pump,basement,a failing bearing in a water pump motor
Texture/Rough,raspy,Mechanical,lathe,workshop,a metal lathe carving a piece of dry wood
Texture/Rough,raspy,Mechanical,conveyor,warehouse,a belt sliding over a rusted metal roller
Texture/Rough,raspy,Mechanical,fan,office,a plastic fan blade hitting a piece of paper
Texture/Rough,raspy,Mechanical,typewriter,attic,a key sticking on a dry typewriter ribbon
Texture/Rough,raspy,Mechanical,shutter,safari,a camera shutter sticking halfway through a shot
Texture/Rough,raspy,Mechanical,escapement,study,a metronome ticking at an uneven pace
Texture/Rough,raspy,Mechanical,boiler,house,steam escaping through a narrow valve gap
Texture/Rough,raspy,Mechanical,pulley,barn,a pulley wheel squeaking under a light load
Texture/Rough,raspy,Mechanical,lever,factory,a metal lever moving in a rusted slot
Texture/Rough,raspy,Environmental,wind,cornfield,wind whistling through dry corn stalks
Texture/Rough,raspy,Environmental,ice,glacier,ice crystals blowing against a nylon tent
Texture/Rough,raspy,Environmental,reeds,marsh,the dry rubbing of reeds in a stiff breeze
Texture/Rough,raspy,Environmental,sand,desert,sandgrains hitting a metal fence in the wind
Texture/Rough,raspy,Environmental,thunder,valley,the dry rumble of a distant dust storm
Texture/Rough,raspy,Environmental,fire,hearth,the soft crackle of charcoal embers
Texture/Rough,raspy,Environmental,rain,forest,light rain hitting a canopy of dry leaves
Texture/Rough,raspy,Environmental,water,stream,a stream drying up to a tiny trickle
Texture/Rough,raspy,Environmental,thaw,eaves,the slow drip of a melting icicle on stone
Texture/Rough,raspy,Environmental,rocks,river,river stones rolling in a silt bed
Texture/Rough,raspy,Environmental,snow,field,the crunch of a foot on frozen snow
Texture/Rough,raspy,Environmental,roots,woods,the snap of a dry root in sandy soil
Texture/Rough,raspy,Environmental,mist,canyon,a bird call echoing in a thick fog
Texture/Rough,raspy,Environmental,ice,lake,the faint ping of a small ice crack
Texture/Rough,raspy,Environmental,leaves,path,walking on a pile of dry oak leaves
Texture/Rough,raspy,Environmental,twigs,thicket,a tiny dry twig snapping underfoot
Texture/Rough,raspy,Environmental,shale,cliff,a stone sliding down a rock face
Texture/Rough,raspy,Organic,vocalizations,forest,the dry growl of a leopard at night
Texture/Rough,raspy,Organic,scales,desert,a lizard scuttling over dry moss
Texture/Rough,raspy,Organic,wings,garden,the rapid flutter of a moth's wings
Texture/Rough,raspy,Organic,breath,bedroom,the whisper of a person in a dry room
Texture/Rough,raspy,Organic,purr,living room,the steady purring of a cat on a lap
Texture/Rough,raspy,Organic,snuffle,stable,a horse exhaling gently into dry hay
Texture/Rough,raspy,Organic,wings,night,the flap of a bird's wings in a barn
Texture/Rough,raspy,Organic,claws,tile floor,a bird's claws clicking on a floor
Texture/Rough,raspy,Organic,skin,bedroom,rubbing a piece of dry suede leather
Texture/Rough,raspy,Organic,hair,dressing room,brushing dry hair with a stiff brush
Texture/Rough,raspy,Organic,stomp,deck,the tap of a bare foot on a wooden plank
Texture/Rough,raspy,Organic,skin,nursery,rubbing two soft fingers together slowly
Texture/Rough,raspy,Organic,seed pods,prairie,the rattle of dry pods in the wind
Texture/Rough,raspy,Organic,growl,cave,a low sound echoing in a tunnel
Texture/Rough,raspy,Organic,branches,orchard,the creak of a dead tree branch
Texture/Rough,raspy,Organic,thud,woods,a berry falling into deep grass
Texture/Rough,raspy,Organic,shell,beach,a shell rolling in the retreating surf
Texture/Rough,raspy,Domestic,steel wool,kitchen,scrubbing a pan with a pad of steel wool
Texture/Rough,raspy,Domestic,sandpaper,woodshop,sanding a wooden table with a coarse grit
Texture/Rough,raspy,Domestic,sponge,classroom,a dry sponge being rubbed on a chalkboard
Texture/Rough,raspy,Domestic,kettle,kitchen,a tea kettle whistle fading as it cools
Texture/Rough,raspy,Domestic,lightbulb,closet,the faint hum of a dying bulb
Texture/Rough,raspy,Domestic,faucet,bathroom,the hiss of a leaky tap under pressure
Texture/Rough,raspy,Domestic,radio,attic,music fading as the battery runs out
Texture/Rough,raspy,Domestic,clock,hall,the faint tick of a clock in another room
Texture/Rough,raspy,Domestic,rug,foyer,the sound of a foot sliding on a worn rug
Texture/Rough,raspy,Domestic,paper,office,the crinkle of a thin piece of paper
Texture/Rough,raspy,Domestic,scissors,studio,scissors cutting a single thread
Texture/Rough,raspy,Domestic,zipper,bedroom,a zipper sticking on a piece of fabric
Texture/Rough,raspy,Domestic,curtains,den,sheer curtains moving in a light draft
Texture/Rough,raspy,Domestic,cushion,sofa,sinking into a very soft old pillow
Texture/Rough,raspy,Domestic,oven,kitchen,the hum of a digital timer
Texture/Rough,raspy,Domestic,iron,laundry,the hiss of steam from a cooling iron
Texture/Rough,raspy,Domestic,pot,stove,the bubbling of a simmering pot
Texture/Rough,raspy,Electronic,speaker,loft,a voice coming through a blown speaker cone
Texture/Rough,raspy,Electronic,radio,office,radio static on a low signal frequency
Texture/Rough,raspy,Electronic,toy,playroom,a dying battery in a small electronic toy
Texture/Rough,raspy,Electronic,signal,lab,a high-frequency pulse on a monitor
Texture/Rough,raspy,Electronic,beeper,hospital,the beep of a pager in a distant room
Texture/Rough,raspy,Electronic,static,radio,the wash of white noise on a dead band
Texture/Rough,raspy,Electronic,buzzer,game,a weak electronic chime sounding
Texture/Rough,raspy,Electronic,capacitor,bench,the whine of a battery charging
Texture/Rough,raspy,Electronic,relay,closet,the click of a thermostat relay
Texture/Rough,raspy,Electronic,sensor,gate,the beep of a security sensor
Texture/Rough,raspy,Electronic,led,control room,the sing of an old led display
Texture/Rough,raspy,Electronic,router,study,the hum of a small network fan
Texture/Rough,raspy,Electronic,transformer,room,the buzz of a wall charger
Texture/Rough,raspy,Electronic,modem,basement,the hiss of a data transmission
Texture/Rough,raspy,Electronic,flash,studio,the pop of a small flash firing
Texture/Rough,raspy,Electronic,remote,living room,the click of a remote button
Texture/Rough,raspy,Electronic,battery,garage,the fizz of a dying battery
Texture/Rough,grainy,Musical,drumhead,studio,sand being rubbed against a taut drumhead
Texture/Rough,grainy,Musical,shaker,recording room,a wooden shaker filled with dried rice
Texture/Rough,grainy,Musical,violin,chamber,a piece of eggshell being rubbed on a violin string
Texture/Rough,grainy,Musical,tambourine,meadow,the scrape of a thumb across a tambourine head
Texture/Rough,grainy,Musical,guira,piazza,a metal scraper moving over a textured surface
Texture/Rough,grainy,Musical,marimba,conservatory,a marimba bar struck with a wooden mallet
Texture/Rough,grainy,Musical,guitar,loft,the slide of a finger on a round-wound string
Texture/Rough,grainy,Musical,banjo,barn,the sound of a pick hitting a skin head
Texture/Rough,grainy,Musical,claves,studio,two rosewood sticks striking together
Texture/Rough,grainy,Musical,piano,room,a piano note played with a felt cover
Texture/Rough,grainy,Musical,harp,parlor,a string plucked with a calloused thumb
Texture/Rough,grainy,Musical,flute,garden,a wooden flute blown with a dusty breath
Texture/Rough,grainy,Musical,cello,conservatory,a cello bow moving slowly on wood
Texture/Rough,grainy,Musical,trumpet,hall,a trumpet played with a loose mute
Texture/Rough,grainy,Musical,organ,church,the rustle of an air leak in a pipe
Texture/Rough,grainy,Musical,glockenspiel,nursery,a glockenspiel note on a wooden base
Texture/Rough,grainy,Musical,bells,tower,the ring of a bell with a rusted hammer
