category,tag,domain,source,environment,scenario
Processing,distorted,Musical,saxophone,jazz club,a tenor saxophone being overblown to produce a raspy growl in a cellar
Processing,distorted,Musical,electric guitar,garage,an electric guitar signal passing through a damaged speaker cabinet
Processing,distorted,Musical,cello,conservatory,a cello string being bowed with extreme pressure on a resonant stage
Processing,distorted,Musical,piano,ballroom,a grand piano string vibrating against a loose metal washer in a hall
Processing,distorted,Musical,drums,studio,a drum kit recorded with microphones placed inside the kick drum shell
Processing,distorted,Musical,trumpet,square,a trumpet played with a metal mute that is vibrating against the bell
Processing,distorted,Musical,organ,cathedral,a pipe organ driven by an unstable high-pressure air supply in a stone hall
Processing,distorted,Musical,synthesizer,basement,a synthesizer lead being pushed through a saturated vacuum tube preamp
Processing,distorted,Musical,violin,attic,a violin bow being pressed hard across a thick gut string in a room
Processing,distorted,Musical,harmonica,canyon,a harmonica being blown into a small overdriven handheld microphone
Processing,distorted,Musical,banjo,porch,a banjo string snapping and rattling against the wooden bridge
Processing,distorted,Musical,harpsichord,gallery,a harpsichord sequence with a damaged soundboard rattling in a hall
Processing,distorted,Musical,gong,temple,a large bronze gong struck so hard the metal begins to groan
Processing,distorted,Musical,accordion,chapel,an accordion bellows leaking air through a torn internal reed
Processing,distorted,Musical,flute,orchard,a flute being played with a harsh percussive overblowing technique
Processing,distorted,Musical,bassoon,glen,a bassoon reed vibrating violently during a low staccato passage
Processing,distorted,Musical,tambourine,park,a tambourine with rusted metal jingles being struck with force
Processing,distorted,Musical,ukulele,beach,a ukulele string vibrating against a loose plastic fret in the wind
Processing,distorted,Mechanical,grinder,garage,a bench grinder throwing sparks while sharpening a jagged steel blade
Processing,distorted,Mechanical,chainsaw,forest,a gasoline chainsaw roaring as it bites into a dense tree knot
Processing,distorted,Mechanical,drill,shipyard,an industrial drill bit shrieking as it pierces a thick steel plate
Processing,distorted,Mechanical,engine,racetrack,a formula one engine vibrating at its maximum rotation limit
Processing,distorted,Mechanical,lathe,workshop,a metal lathe carving a stainless steel rod with high friction
Processing,distorted,Mechanical,shredder,office,a paper shredder struggling to grind through a thick plastic card
Processing,distorted,Mechanical,jackhammer,street,a pneumatic jackhammer striking solid granite with high-frequency impacts
Processing,distorted,Mechanical,piston,engine room,the sharp metallic clacking of a dry steam piston in a plant
Processing,distorted,Mechanical,fan,warehouse,a large industrial fan hitting a bent metal safety guard
Processing,distorted,Mechanical,sewing machine,factory,a high-speed sewing machine needle cycling through heavy denim
Processing,distorted,Mechanical,vacuum,hallway,a vacuum cleaner sucking up a small metal bolt in a corridor
Processing,distorted,Mechanical,boiler,foundry,the intense roar of a blast furnace burner at full heat
Processing,distorted,Mechanical,impact wrench,auto shop,the rapid-fire hammering of an air-powered wrench on a nut
Processing,distorted,Mechanical,crane,dock,a heavy steel winch cable grinding against a rusted metal pulley
Processing,distorted,Mechanical,mixer,kitchen,an electric blender blades grinding against a large block of ice
Processing,distorted,Mechanical,printing press,plant,a high-speed offset press running with an unbalanced roller
Processing,distorted,Mechanical,lawnmower,yard,a lawnmower blade striking a hidden stone in a thick lawn
Processing,distorted,Mechanical,generator,campsite,a portable generator vibrating against a metal plate on a trailer
Processing,distorted,Environmental,thunder,mountain,a sharp lightning strike followed by immediate crackling thunder
Processing,distorted,Environmental,fire,campsite,dry cedar wood popping and crackling intensely in a hot fire pit
Processing,distorted,Environmental,ice,lake,the sharp abrasive grinding of ice shelves on a frozen lake
Processing,distorted,Environmental,sandstorm,desert,the sound of grit sandblasting a resonant metal shed in a storm
Processing,distorted,Environmental,wind,canyon,hurricane-force winds screaming through a narrow rock fissure
Processing,distorted,Environmental,waterfall,chasm,the overwhelming roar of water hitting rocks in a narrow gorge
Processing,distorted,Environmental,volcano,island,the continuous explosive roar of a volcanic vent on a mountain
Processing,distorted,Environmental,landslide,cliff,a pile of jagged rocks tumbling down a steep metal chute
Processing,distorted,Environmental,storm,ocean,wind whipping across the crest of a massive crashing wave
Processing,distorted,Environmental,hail,tin roof,large hailstones pounding against a corrugated metal roof in a storm
Processing,distorted,Environmental,geyser,basin,a high-pressure steam vent hissing through a narrow mineral gap
Processing,distorted,Environmental,mud,hot spring,gas bubbles bursting on the surface of boiling geothermal mud
Processing,distorted,Environmental,avalanche,slope,the deafening rumble of a mountain-side snow collapse in a valley
Processing,distorted,Environmental,shale,quarry,a slab of shale shattering against a pile of stones in a quarry
Processing,distorted,Environmental,reeds,marsh,dry reeds snapping and clicking in a heavy gale on a riverbank
Processing,distorted,Environmental,rain,skylight,intense tropical rain tapping rapidly on a thin glass pane
Processing,distorted,Environmental,branches,forest,heavy tree limbs rubbing and creaking violently in a storm
Processing,distorted,Environmental,thicket,jungle,a person pushing through a pile of dry brittle jungle brush
Processing,distorted,Organic,growl,woods,the low guttural growl of a large animal in a resonant forest
Processing,distorted,Organic,screech,jungle,a tropical bird emitting a piercing metallic alarm call in a wood
Processing,distorted,Organic,voice,theatre,a person shouting at maximum volume into a hollow wooden box
Processing,distorted,Organic,bark,park,a large dog letting out a sharp repetitive raspy bark in a field
Processing,distorted,Organic,claws,tile floor,a cat scratching frantically on a polished wooden surface
Processing,distorted,Organic,teeth,dentist,the sound of teeth grinding under extreme physical pressure
Processing,distorted,Organic,wings,pond,a duck's wings smacking the water surface during a fast takeoff
Processing,distorted,Organic,snort,stable,a bull snorting loudly while pawing at a wooden fence
Processing,distorted,Organic,chewing,dining room,the sound of a person crunching on hard ice cubes after a meal
Processing,distorted,Organic,breathing,gym,the sharp gasping of an athlete after a heavy weight lift
Processing,distorted,Organic,howl,valley,the sharp aggressive howl of a coyote in a narrow stone canyon
Processing,distorted,Organic,laughter,school,a loud sharp cackle echoing in a quiet classroom
Processing,distorted,Organic,cough,hospital,a sharp dry hacking cough in a sterile medical ward
Processing,distorted,Organic,throat,church,a person clearing their throat with a sharp gravelly rasp
Processing,distorted,Organic,shrimp,reef,the intense non-stop clicking of a dense pistol shrimp colony
Processing,distorted,Organic,wasps,attic,the angry buzzing of a disturbed wasp nest in a quiet room
Processing,distorted,Organic,tongue,clinic,a sharp clicking of the tongue against the roof of the mouth
Processing,distorted,Organic,hiss,desert,a rattlesnake's tail vibrating at high intensity in the scrub
Processing,distorted,Domestic,kettle,kitchen,the piercing scream of a tea kettle at a full rolling boil
Processing,distorted,Domestic,blender,kitchen,an electric mixer motor straining in a thick heavy dough
Processing,distorted,Domestic,door,hallway,a screen door slamming and rattling against its wooden frame
Processing,distorted,Domestic,vacuum,bedroom,a vacuum cleaner with a brush roll hitting a hard floor
Processing,distorted,Domestic,shredder,office,a paper shredder grinding through a thick stack of documents
Processing,distorted,Domestic,can,kitchen,a soda can being crushed under a heavy work boot on tile
