category,tag,domain,source,environment,scenario,file
dynamic/variable,fluctuating,musical,violin string,attic,a finger oscillating on a violin string to vary the tension in a dusty attic,fluctuating/fluctuating_musical_0000.mp3
dynamic/variable,fluctuating,musical,flute,meadow,a flute player changing breath pressure while sustaining a note in a meadow,fluctuating/fluctuating_musical_0001.mp3
dynamic/variable,fluctuating,musical,harmonium,shrine,a harmonium bellows being pumped with varying force in a quiet shrine,fluctuating/fluctuating_musical_0002.mp3
dynamic/variable,fluctuating,musical,didgeridoo,canyon,a didgeridoo player shifting mouth shape to change resonance in a desert canyon,fluctuating/fluctuating_musical_0003.mp3
dynamic/variable,fluctuating,musical,cello,conservatory,a cello bow moving between the bridge and fingerboard during a long note,fluctuating/fluctuating_musical_0004.mp3
dynamic/variable,fluctuating,musical,singing bowl,temple,a wooden mallet circling a singing bowl with changing speed in a stone temple,fluctuating/fluctuating_musical_0005.mp3
dynamic/variable,fluctuating,musical,trumpet,plaza,a trumpet player using a plunger mute to vary the exit of air in a plaza,fluctuating/fluctuating_musical_0006.mp3
dynamic/variable,fluctuating,musical,harp,gallery,a harp string vibrating with a sliding metal rod held against it,fluctuating/fluctuating_musical_0007.mp3
dynamic/variable,fluctuating,musical,tambura,ashram,the resonating strings of a tambura as they interact and beat against each other,fluctuating/fluctuating_musical_0008.mp3
dynamic/variable,fluctuating,musical,bagpipes,field,the drone pipes of a bagpipe as the air pressure in the bag varies,fluctuating/fluctuating_musical_0009.mp3
dynamic/variable,fluctuating,musical,glass harmonica,studio,a glass harmonica bowl spinning with an uneven layer of water on its rim,fluctuating/fluctuating_musical_0010.mp3
dynamic/variable,fluctuating,musical,tuba,hall,a tuba player varying their embouchure while sustaining a low pedal note,fluctuating/fluctuating_musical_0011.mp3
dynamic/variable,fluctuating,musical,theremin,theatre,a hand moving toward and away from a theremin antenna in a silent theatre,fluctuating/fluctuating_musical_0012.mp3
dynamic/variable,fluctuating,musical,zither,library,a zither string being plucked while the bridge is moved slightly,fluctuating/fluctuating_musical_0013.mp3
dynamic/variable,fluctuating,musical,concertina,pub,a concertina chord shifting as the bellows are squeezed and released,fluctuating/fluctuating_musical_0014.mp3
dynamic/variable,fluctuating,musical,handpan,cave,a handpan being rubbed with a circular motion that changes in intensity,fluctuating/fluctuating_musical_0015.mp3
dynamic/variable,fluctuating,musical,gong,monastery,a large gong vibrating with a wash of changing overtones after a strike,fluctuating/fluctuating_musical_0016.mp3
dynamic/variable,fluctuating,mechanical,diesel engine,shipyard,a large diesel engine idling with an unsteady rhythm in a shipyard,fluctuating/fluctuating_mechanical_0017.mp3
dynamic/variable,fluctuating,mechanical,conveyor belt,factory,a rubber conveyor belt slipping and catching on a metal roller,fluctuating/fluctuating_mechanical_0018.mp3
dynamic/variable,fluctuating,mechanical,ventilation fan,tunnel,a massive fan blade spinning in a turbulent air current inside a tunnel,fluctuating/fluctuating_mechanical_0019.mp3
dynamic/variable,fluctuating,mechanical,hydraulic pump,garage,a hydraulic pump under a varying load in an auto garage,fluctuating/fluctuating_mechanical_0020.mp3
dynamic/variable,fluctuating,mechanical,ceiling fan,bedroom,a ceiling fan with an unbalanced blade wobbling as it rotates,fluctuating/fluctuating_mechanical_0021.mp3
dynamic/variable,fluctuating,mechanical,steam tractor,farm,a steam tractor releasing pressure through a wavering safety valve,fluctuating/fluctuating_mechanical_0022.mp3
dynamic/variable,fluctuating,mechanical,generator,outpost,a diesel generator thrumming as the electrical load shifts in an outpost,fluctuating/fluctuating_mechanical_0023.mp3
dynamic/variable,fluctuating,mechanical,lathe,machine shop,a metal lathe cutting a piece of steel with an uneven surface,fluctuating/fluctuating_mechanical_0024.mp3
dynamic/variable,fluctuating,mechanical,drill,site,a drill bit encountering different densities of rock in a borehole,fluctuating/fluctuating_mechanical_0025.mp3
dynamic/variable,fluctuating,mechanical,sewing machine,studio,a vintage sewing machine being operated with an unsteady foot pedal,fluctuating/fluctuating_mechanical_0026.mp3
dynamic/variable,fluctuating,mechanical,printing press,basement,a printing press running as the paper tension shifts during the run,fluctuating/fluctuating_mechanical_0027.mp3
dynamic/variable,fluctuating,mechanical,elevator,skyscraper,an elevator motor whirring as it compensates for different weights,fluctuating/fluctuating_mechanical_0028.mp3
dynamic/variable,fluctuating,mechanical,gears,tower,brass gears grinding in a clock tower with a worn escapement,fluctuating/fluctuating_mechanical_0029.mp3
dynamic/variable,fluctuating,mechanical,boiler,school,the thrumming of a boiler as steam moves through a complex pipe system,fluctuating/fluctuating_mechanical_0030.mp3
dynamic/variable,fluctuating,mechanical,pulley,shipyard,a rope sliding through a pulley wheel that has a flat spot,fluctuating/fluctuating_mechanical_0031.mp3
dynamic/variable,fluctuating,mechanical,turbine,dam,a water turbine spinning as the flow rate through the penstock varies,fluctuating/fluctuating_mechanical_0032.mp3
dynamic/variable,fluctuating,mechanical,automatic gate,driveway,a motorized gate motor straining against a build-up of debris on the track,fluctuating/fluctuating_mechanical_0033.mp3
