tag,domain,source,environment,scenario
crystalline,Musical,triangle,stone cathedral,a metal beater hitting a small triangle in a stone cathedral
crystalline,Musical,glass armonica,greenhouse,a glass armonica bowl spinning against a wet finger in a greenhouse
crystalline,Musical,glockenspiel,nursery,a brass mallet striking a glockenspiel bar in a nursery
crystalline,Musical,crystal bowl,stone temple,a quartz singing bowl being struck with a suede mallet in a temple
crystalline,Musical,celesta,theater,a felt hammer hitting a steel plate in a celesta in a theater
crystalline,Musical,chime bar,yoga studio,a chime bar being struck and held in a yoga studio
crystalline,Musical,hand bells,quiet library,a set of silver hand bells being rung in a quiet library
crystalline,Musical,kalimba,pine grove,a metal tine of a kalimba being flicked in a pine grove
crystalline,Musical,harp,grotto,a high-tension harp string being plucked in a limestone grotto
crystalline,Musical,toy piano,playroom,a plastic hammer hitting a metal rod in a toy piano in a playroom
crystalline,Musical,wine glass rim,dining hall,a finger circling the rim of a crystal wine glass in a dining hall
crystalline,Musical,tambourine,subway station,the silver jingles of a tambourine clashing in a subway station
crystalline,Musical,crotales,museum,a hard mallet striking a crotale disc in a museum
crystalline,Musical,wind chimes,porch,glass wind chimes clinking together in a light breeze on a porch
crystalline,Musical,sitar,garden,the sympathetic metal strings of a sitar vibrating in a garden
crystalline,Musical,zither,attic,a plectrum plucking a high wire string on a zither in a dusty attic
crystalline,Musical,music box,bedroom,a metal comb being plucked by pins in a music box in a bedroom
crystalline,Musical,grand piano,concert hall,a single key in the highest octave of a grand piano being struck
crystalline,Mechanical,watch escapement,jewelry shop,the tiny gears and lever of a mechanical watch ticking in a shop
crystalline,Mechanical,glass lens,science lab,a precision glass lens being tapped against a metal mount in a lab
crystalline,Mechanical,ceramic bearings,workshop,ceramic ball bearings rattling in a stainless steel tray in a workshop
crystalline,Mechanical,fine spring,electronics lab,a miniature steel spring being plucked in an electronics lab
crystalline,Mechanical,precision gears,clock tower,small brass gears turning in a clockwork mechanism in a tower
crystalline,Mechanical,fiber optic cable,data center,a thin strand of fiber optic glass snapping in a data center
crystalline,Mechanical,quartz timer,control room,a quartz crystal vibrating inside a high-precision timer in a control room
crystalline,Mechanical,microscope slide,research center,a glass microscope slide being placed on a metal stage
crystalline,Mechanical,glass cutter,studio,a diamond-tipped tool scratching a line on a glass pane in a studio
crystalline,Mechanical,metal scribe,metal shop,a tungsten scribe marking a line on a polished aluminum sheet
crystalline,Mechanical,diamond stylus,living room,a diamond stylus dropping onto a vinyl record in a living room
crystalline,Mechanical,camera shutter,art gallery,a high-speed mechanical shutter firing in an art gallery
crystalline,Mechanical,telegraph key,railway station,a silver-tipped telegraph key being tapped in a station
crystalline,Mechanical,compass needle,desert,a metal compass needle hitting its glass casing in a desert
crystalline,Mechanical,pendulum,hallway,a glass pendulum bob hitting the side of a clock case in a hallway
crystalline,Mechanical,micro-actuator,robotics lab,a microscopic metal actuator clicking in a robotics lab
crystalline,Mechanical,mirror,dressing room,a hand mirror being placed on a marble vanity in a dressing room
crystalline,Mechanical,piston,shipyard,a miniature needle valve piston clicking in a shipyard
crystalline,Environmental,ice sheet,frozen lake,a hairline crack forming in a thin sheet of ice on a lake
crystalline,Environmental,icicle,backyard,an icicle breaking and shattering on a frozen patio in a backyard
crystalline,Environmental,frost,window,frost crystals forming and expanding on a cold window pane
crystalline,Environmental,salt,salt flat,a footstep crushing dry salt crystals on a vast salt flat
crystalline,Environmental,quartz,mine,a geologist’s hammer striking a vein of quartz in a mine
crystalline,Environmental,snowflake,suburb,a single large snowflake landing on a metal mailbox in a suburb
crystalline,Environmental,geode,canyon,a geode being cracked open with a rock hammer in a canyon
crystalline,Environmental,sleet,greenhouse,sleet hitting the glass roof of a greenhouse in a garden
crystalline,Environmental,hailstone,shed,a single hailstone hitting a tin can in a garden shed
crystalline,Environmental,cave drip,limestone cavern,a drop of mineral-rich water hitting a still pool in a cavern
crystalline,Environmental,sand,desert dune,grains of sand hitting a glass bottle in a desert wind
crystalline,Environmental,rock salt,tundra,a chunk of rock salt fracturing under a boot in a tundra
crystalline,Environmental,glacier,arctic,a tiny fracture forming in a block of glacial ice in the arctic
crystalline,Environmental,volcanic glass,wasteland,shards of obsidian clinking together in a volcanic wasteland
crystalline,Environmental,stalactite,cave,a small mineral deposit snapping off a stalactite in a cave
crystalline,Environmental,mineral spring,geothermal field,gas bubbles popping in a mineral-heavy geothermal spring
crystalline,Environmental,mica,mountain ridge,a sheet of mica being peeled apart on a mountain ridge
crystalline,Environmental,sea salt,rocky shore,dry sea salt crust cracking on a hot rock by the shore
crystalline,Organic,dragonfly wings,marsh,the chitinous wings of a dragonfly fluttering in a marsh
crystalline,Organic,beetle shell,porch,a beetle's hard wing covers hitting a glass window on a porch
crystalline,Organic,cicada wings,orchard,the dry transparent wings of a cicada ruffling in an orchard
crystalline,Organic,eggshell,kitchen,a thin bird eggshell being crushed in a ceramic bowl in a kitchen
crystalline,Organic,seashell,beach,a fragile seashell being crushed under a sandal on a sandy beach
crystalline,Organic,snail shell,glass pane,a snail's shell clicking against a glass window pane
crystalline,Organic,frozen leaf,forest,a frozen leaf shattering when stepped on in a winter forest
crystalline,Organic,calcified bone,desert,a small calcified bone hitting a stone in a desert
crystalline,Organic,bird beak,bird sanctuary,a small bird's beak clicking against a glass feeder
crystalline,Organic,lobster claw,fish market,a lobster's shell scraping against another in a fish market
crystalline,Organic,tooth,nursery,a child's tooth being dropped into a glass jar in a nursery
crystalline,Organic,fingernail,study,a fingernail tapping against a glass desktop in a study
crystalline,Organic,crab shell,shoreline,a crab's shell hitting a pebble on a rocky shoreline
crystalline,Organic,seed pod,meadow,a dry translucent seed pod snapping open in a meadow
crystalline,Organic,nut shell,woods,a squirrel cracking a thin nut shell in a quiet woods
crystalline,Organic,chitinous leg,basement,an insect's hard leg joints clicking on a plastic surface in a basement
crystalline,Organic,scales,reptile house,dry reptile scales rubbing against a glass wall in a reptile house
crystalline,Organic,fish scales,fishing boat,dry fish scales being scraped off a perch on a metal deck
crystalline,Domestic,wine glass,cellar,a wine glass being tapped with a silver ring in a cellar
crystalline,Domestic,porcelain cup,parlor,a porcelain teacup being placed on a matching saucer in a parlor
crystalline,Domestic,chandelier,ballroom,glass prisms of a chandelier clinking together in a drafty ballroom
crystalline,Domestic,glass bead,workshop,a glass bead falling onto a metal tray in a workshop
crystalline,Domestic,light bulb,attic,the filament of a light bulb vibrating when the glass is tapped
crystalline,Domestic,spectacles,library,a pair of wire-rimmed spectacles being folded in a library
crystalline,Domestic,mirror,bathroom,a glass mirror being wiped with a dry cloth in a bathroom
crystalline,Domestic,ceramic plate,kitchen,a ceramic plate being placed on a granite countertop in a kitchen
crystalline,Domestic,silver fork,dining room,the tines of a silver fork hitting a crystal bowl in a dining room
crystalline,Domestic,crystal vase,living room,a crystal vase being placed on a glass table in a living room
crystalline,Domestic,window pane,bedroom,a window pane rattling in its frame during a light breeze
crystalline,Domestic,marbles,playroom,two glass marbles colliding on a wooden floor in a playroom
crystalline,Domestic,eyedropper,pantry,a glass eyedropper hitting the side of a glass vial in a pantry
crystalline,Domestic,perfume bottle,dressing room,a glass perfume stopper being inserted into a bottle
crystalline,Domestic,ornament,living room,a glass ornament hitting a metal stand on a christmas tree
crystalline,Domestic,glass pitcher,terrace,a glass pitcher being filled with ice cubes on a stone terrace
crystalline,Domestic,wristwatch,nightstand,a mechanical wristwatch ticking on a glass nightstand in a bedroom
crystalline,Domestic,soda bottle,picnic,a glass soda bottle being tapped with a metal bottle opener
crystalline,Electronic,piezo buzzer,lab,a small piezo buzzer emitting a short pulse in a lab
crystalline,Electronic,electrical arc,physics lab,a high-voltage spark jumping between two glass electrodes in a lab
crystalline,Electronic,camera flash,studio,a xenon flash tube charging with a high whine in a photo studio
crystalline,Electronic,smart watch,bedroom,a smart watch notification chirp on a glass surface in a bedroom
crystalline,Electronic,hard drive,server room,a hard drive head clicking against a glass platter in a server room
crystalline,Electronic,neon sign,rainy alley,a thin neon tube buzzing in a rainy alleyway
crystalline,Electronic,static spark,office,a static discharge snapping between a finger and a metal filing cabinet
crystalline,Electronic,laser scanner,warehouse,a laser scanner's beam hitting a glass barcode label in a warehouse
crystalline,Electronic,circuit board,garage,a glass-fiber circuit board being snapped in a garage
crystalline,Electronic,microswitch,arcade,a small microswitch clicking inside a joystick in an arcade
crystalline,Electronic,led indicator,control room,a small plastic led cover being tapped in a control room
crystalline,Electronic,capacitors,workshop,small ceramic capacitors rattling in a plastic bin in a workshop
crystalline,Electronic,transistor,attic,a single transistor failing with a tiny pop in an old radio
crystalline,Electronic,radar dish,coastal station,fine metal gears turning in a radar dish drive in a station
crystalline,Electronic,digital clock,kitchen,a digital clock's alarm emitting a short beep in a kitchen
crystalline,Electronic,smartphone,glass table,a smartphone vibrating on a glass table in a hallway
crystalline,Electronic,earbud,gym,a plastic earbud hitting a linoleum floor in a gym
crystalline,Electronic,key fob,parking lot,the internal button of a car key fob being pressed in a parking lot
