tag,domain,source,environment,scenario
artificial,Musical,square wave oscillator,recording studio,a square wave oscillator pulsing in a recording studio
artificial,Musical,digital piano,quiet library,a MIDI-triggered digital piano in a quiet library
artificial,Musical,electronic drum pad,garage,an electronic drum pad being struck with a stick in a garage
artificial,Musical,FM synthesizer,basement,a frequency modulation synthesizer playing a lead in a basement
artificial,Musical,digital delay unit,stadium,a digital delay loop repeating a guitar chord in a stadium
artificial,Musical,bit-crushed violin,stone cathedral,a bit-crushed violin track playing in a stone cathedral
artificial,Musical,synthesized flute,flower meadow,a synthesized flute playing a melody in a flower meadow
artificial,Musical,wavetable synthesizer,data center,a wavetable synthesizer scanning through frames in a data center
artificial,Musical,electronic tambourine,subway station,an electronic tambourine signal in a subway station
artificial,Musical,auto-tuned vocal,bedroom,an auto-tuned vocal track playing through monitors in a bedroom
artificial,Musical,quantized kick drum,night club,a quantized electronic kick drum in a night club
artificial,Musical,digital harpsichord,museum,a digital harpsichord playing a baroque piece in a museum
artificial,Musical,granular synthesizer,limestone grotto,a granular synthesized harp in a limestone grotto
artificial,Musical,additive synthesizer,science lab,an additive synthesizer constructing a tone in a science lab
artificial,Musical,electronic bongo,tropical jungle,an electronic bongo being triggered in a tropical jungle
artificial,Musical,virtual analog synth,warehouse,a virtual analog synthesizer playing a chord in a warehouse
artificial,Musical,step-sequenced bass,car trunk,a step-sequenced electronic bassline in a car trunk
artificial,Musical,digital music box,nursery,a digital music box playing a lullaby in a nursery
artificial,Mechanical,robotic arm,factory,a robotic arm clicking into position in a factory
artificial,Mechanical,automated sorter,post office,an automated sorter arm flicking mail in a post office
artificial,Mechanical,stepper motor,robotics lab,a precision stepper motor rotating in a robotics lab
artificial,Mechanical,3d printer nozzle,workshop,a 3d printer nozzle moving along a metal rail in a workshop
artificial,Mechanical,digital clock,hallway,a digital clock mechanism clicking in a hallway
artificial,Mechanical,automated turret,bunker,an automated turret swiveling on a concrete bunker
artificial,Mechanical,self-checkout scanner,grocery store,a self-checkout laser scanner signaling in a grocery store
artificial,Mechanical,automated parking gate,parking garage,an automated parking gate arm rising in a garage
artificial,Mechanical,robotic vacuum,living room,a robotic vacuum hitting a wooden chair leg in a living room
artificial,Mechanical,CNC milling head,industrial plant,a CNC milling head carving a metal plate in an industrial plant
artificial,Mechanical,electronic solenoid,vending machine,an electronic solenoid firing in a vending machine
artificial,Mechanical,motorized camera zoom,city park,a motorized camera lens zooming in a city park
artificial,Mechanical,automated teller machine,bank,an automated teller machine counting paper bills in a bank
artificial,Mechanical,digital scale,pharmacy,a digital scale calibrating in a pharmacy
artificial,Mechanical,electric actuator,cockpit,an electric actuator moving a flight control in a cockpit
artificial,Mechanical,pneumatic gripper,assembly line,a pneumatic gripper grabbing a metal part on an assembly line
artificial,Mechanical,laser engraver,design studio,a laser engraver etching a serial number in a design studio
artificial,Mechanical,robotic exoskeleton,training center,a robotic exoskeleton joint moving in a training center
artificial,Environmental,public address system,shopping mall,synthesized rain playing through a public address system in a mall
artificial,Environmental,artificial waterfall,hotel lobby,an artificial waterfall in a glass-walled hotel lobby
artificial,Environmental,stadium soundboard,sports stadium,a digital thunder effect being triggered in a sports stadium
artificial,Environmental,stage fan,theater,synthesized wind through a large stage fan in a theater
artificial,Environmental,hidden speaker,public park,an electronic bird song from a hidden speaker in a public park
artificial,Environmental,reverberation unit,recording studio,a reverberation unit simulating a cavern in a recording studio
artificial,Environmental,white noise generator,office,a white noise generator mimicking a flowing stream in an office
artificial,Environmental,aquarium audio system,aquarium,a digital ocean swell audio in a large aquarium
artificial,Environmental,cinema subwoofer,cinema,a simulated earthquake rumble from a subwoofer in a cinema
artificial,Environmental,plastic device,backyard,synthesized cricket chirps from a plastic device in a backyard
artificial,Environmental,wave generator,surf pool,an electronic wave generator in a concrete surf pool
artificial,Environmental,electric fireplace,parlor,a synthesized fire crackle from an electric fireplace in a parlor
artificial,Environmental,museum exhibit,museum,a digital ice cracking sound effect in a museum exhibit
artificial,Environmental,research center speaker,desert,simulated sandstorm audio in a desert research center
artificial,Environmental,theme park pump,theme park,an artificial geyser being pumped in a theme park
artificial,Environmental,playhouse soundboard,playhouse,synthesized leaves rustling from a soundboard in a playhouse
